point,lb,ub,x,inf_vacc
43.55871331196298,60.02403098052736,20.311654197814633,"time_since_inf_cut.roommate[0,90)",inf
38.92406177737699,52.1157577668369,22.0981672507246,"time_since_inf_cut.roommate[90,182)",inf
14.992644981285485,29.745194025697696,-2.8577377314368047,"time_since_inf_cut.roommate[182,365)",inf
13.947235254002932,22.05379682802081,4.997575005783473,"time_since_inf_cut.roommate[365,Inf)",inf
21.70438432226913,30.85115958886059,11.34770448923681,has.vacc.roommate.binary,inf
0.4830702934098374,1.1288964206491836,-0.16697437060642084,age,inf
-0.3979783555903449,0.21995735616715528,-1.0197409302529437,age.roommate,inf
-12.690023747400803,-8.217685818596854,-17.347191044880674,risk,inf
-11.992217419739926,-7.770660002002439,-16.379140318499076,risk.roommate,inf
27.514279969361986,36.86790530705618,16.77482532593223,"time_since_vacc_cut.roommate[0,90)",vacc
13.809039513771005,26.6965998375453,-1.3442985328760981,"time_since_vacc_cut.roommate[90,182)",vacc
15.286712007887903,26.696959089954543,2.1003620949226254,"time_since_vacc_cut.roommate[182,365)",vacc
18.805870963824546,34.75347785572439,-1.0396627021062033,"time_since_vacc_cut.roommate[365,Inf)",vacc
17.494857012081756,24.728787546546315,9.565710481065814,has.prior.inf.roommate,vacc
0.5031670104887365,1.1479056639185914,-0.1457767934138321,age,vacc
-0.5204040876398697,0.10549992241322137,-1.1502297933768668,age.roommate,vacc
-12.694751789600867,-8.228565709744062,-17.345240580752975,risk,vacc
-11.902888798820932,-7.677693259580054,-16.293877983935957,risk.roommate,vacc
37.663922917053526,47.5354446356153,25.935015000072013,"time_since_infvacc_cut.roommate[0,90)",infvacc
27.83727185608115,40.07756589577583,13.096665530714102,"time_since_infvacc_cut.roommate[90,182)",infvacc
23.647008516021238,35.88115768210434,9.07853139878927,"time_since_infvacc_cut.roommate[182,365)",infvacc
23.225048106827273,37.879887044768815,5.112966513004135,"time_since_infvacc_cut.roommate[365,Inf)",infvacc
0.5451047132775444,1.1889222922288778,-0.10290775034240696,age,infvacc
-0.5509924258928489,0.07204534019631392,-1.1779147512056332,age.roommate,infvacc
-12.909134737143368,-8.444290624797546,-17.557804414050437,risk,infvacc
-12.053744697058955,-7.824448813842322,-16.44893007810806,risk.roommate,infvacc
