x,point,lb,ub
"time_since_vacc_cut2.roommate[0,30)",0.6740464018388458,0.5671166337695842,0.8011377638704378
"time_since_vacc_cut2.roommate[30,60)",0.6798360365233234,0.5872919064316139,0.7869630612891116
"time_since_vacc_cut2.roommate[60,90)",0.784200512172082,0.6659955494745359,0.9233852144750238
"time_since_vacc_cut2.roommate[90,182)",0.8329047977159463,0.7181363579625692,0.9660148721984078
"time_since_vacc_cut2.roommate[182,365)",0.8343224580442595,0.7314397090964403,0.9516764749577401
"time_since_vacc_cut2.roommate[365,Inf)",0.7785093759581356,0.636827049412794,0.9517134189158227
has.prior.inf.roommate,0.8308259020523698,0.763335138899462,0.9042839040743399
age,0.9918079944401751,0.9864014164506094,0.9972442064966326
age.roommate,1.0043207642992582,0.9990288346223307,1.0096407257193494
risk,1.0830090798176293,1.0478025170170082,1.1193985965089919
risk.roommate,1.081782400039523,1.0484441103933948,1.116180776289707
