x,point,lb,ub
"time_since_vacc_cut2.roommate[0,30)",0.676396555864055,0.5701431729208984,0.8024515990270934
"time_since_vacc_cut2.roommate[30,60)",0.6807912272688508,0.5887615255736844,0.787206152227118
"time_since_vacc_cut2.roommate[60,90)",0.7837764899340041,0.6666659568533219,0.9214593603561281
"time_since_vacc_cut2.roommate[90,182)",0.861042929279737,0.7430268551127114,0.9978036742025513
"time_since_vacc_cut2.roommate[182,365)",0.8362786383443928,0.7340642455529542,0.9527258209182194
"time_since_vacc_cut2.roommate[365,Inf)",0.8000892011703942,0.6550646372329677,0.9772207099035001
has.prior.inf.roommate,0.8295545543431385,0.7623478374389167,0.9026860506921582
age,0.9953345403852123,0.9899315341527912,1.0007670360068894
age.roommate,1.0039677566581893,0.9986721828959438,1.0092914108075242
risk,1.0798750446410135,1.0448467261969752,1.1160776818269813
risk.roommate,1.08600772775032,1.0524799604437343,1.1206035545191406
