x,point,lb,ub
bivalent_timeMonovalent<90,0.7030893522314687,0.6196392923891136,0.7977780674871084
bivalent_timeMonovalent>=90,0.8121967378284035,0.7197065974474179,0.9165728691090618
bivalent_timeBivalent,0.5296263619636554,0.31894403662279847,0.8794774351545479
"time_since_inf_cut.roommate[0,90)",0.7155053986781185,0.4933628248763936,1.0376703507520981
"time_since_inf_cut.roommate[90,182)",0.6088299589905277,0.4708433692845178,0.7872552597006405
"time_since_inf_cut.roommate[182,365)",0.7295168668340696,0.6047144880268753,0.8800762500860494
"time_since_inf_cut.roommate[365,Inf)",0.8671541890485123,0.7929351813467588,0.9483201215857574
age,0.9919341014973911,0.9865198083728954,0.9973781097576491
age.roommate,1.004292714236036,0.999010477602711,1.0096028805302364
risk,1.0823273285332515,1.0471098830377523,1.1187292423327175
risk.roommate,1.0828536260187342,1.0494652056642038,1.1173042889400062
