point,lb,ub,x
32.20429056482569,44.23920898064827,17.571861270342172,"time_since_vacc_cut2.roommate[0,30)"
27.93157804436479,38.936378768839234,14.9435074688126,"time_since_vacc_cut2.roommate[30,60)"
17.289469547197378,31.28527671018768,0.442997944834278,"time_since_vacc_cut2.roommate[60,90)"
11.177896668832021,24.903267862776424,-5.0560499191431685,"time_since_vacc_cut2.roommate[90,182)"
14.869681133311374,26.70937461389379,1.117350927695382,"time_since_vacc_cut2.roommate[182,365)"
14.182629482839404,31.440675444127486,-7.419685508684037,"time_since_vacc_cut2.roommate[365,Inf)"
0.6969148042686446,1.3613622048432306,0.027991567875573775,age
-0.763416740330003,-0.11844744950493258,-1.4125409636046138,age.roommate
-13.452092164547192,-8.797632870852269,-18.305673357726615,risk
-11.578499153745758,-7.25016246244885,-16.081516219254553,risk.roommate
