x,point,lb,ub
has.vacc.roommate.binary,0.7763997681102733,0.6952946636309051,0.8673418693781875
has.prior.inf.roommate,0.8291963556424732,0.7703220980334898,0.8925268864005892
dose.1,0.9300219588784802,0.8978202041945628,0.9633786808931377
dose.2,0.8649408439961656,0.8349925050257044,0.8959633279460023
dose.3,0.8044139780473198,0.7765613651728548,0.8332655693396233
dose.4,0.7481226636127991,0.7222191220274052,0.7749552770632284
"time_since_inf_cut.roommate[0,90)",0.6564072212406115,0.4770466960670424,0.8921107016491944
"time_since_inf_cut.roommate[90,182)",0.6561051526337038,0.5187598384548676,0.8244485592514383
"time_since_inf_cut.roommate[182,365)",0.776502374710278,0.658512629711217,0.9135036171320209
"time_since_inf_cut.roommate[365,Inf)",0.8587438624390333,0.7940963367338661,0.9285612822842539
"time_since_vacc_cut.roommate[0,90)",0.731595962477597,0.649201114710947,0.8246921249551497
"time_since_vacc_cut.roommate[90,182)",0.8158218839077814,0.7100759091515071,0.9372961697142265
"time_since_vacc_cut.roommate[182,365)",0.8163407808634812,0.7196160083603237,0.9262468187071783
"time_since_vacc_cut.roommate[365,Inf)",0.7928638073456492,0.6569536752484377,0.9555568594407338
"time_since_infvacc_cut.roommate[0,90)",0.6544674559902594,0.5637451098479505,0.7601367851589238
"time_since_infvacc_cut.roommate[90,182)",0.7031255549098824,0.5973268865158421,0.8278473202199128
"time_since_infvacc_cut.roommate[182,365)",0.739331675142639,0.6339248501046865,0.8626005190546449
"time_since_infvacc_cut.roommate[365,Inf)",0.7830091110292589,0.649946539665845,0.943089159308072
