x,point,lb,ub
has.vacc.roommate.binary,0.7942849067387153,0.7023024791730792,0.8983145180062081
has.prior.inf.roommate,0.8359549099020062,0.7650697525758144,0.9134077109132892
dose.1,0.935057377711054,0.8985532256109394,0.9730445283498943
dose.2,0.8743322996118726,0.8401988228735741,0.9098524650749414
dose.3,0.8175508673231533,0.7856341080720786,0.8507642600969131
dose.4,0.7644569701445855,0.7346129689342406,0.7955133980965047
"time_since_inf_cut.roommate[0,90)",0.6533042001423801,0.474858137901179,0.8876624691597925
"time_since_inf_cut.roommate[90,182)",0.6675141146768674,0.5273210792308554,0.839556447046184
"time_since_inf_cut.roommate[182,365)",0.7840363541433367,0.6641140863850902,0.9234817487482456
"time_since_inf_cut.roommate[365,Inf)",0.873363072031954,0.8053718318124229,0.9470035313806344
"time_since_vacc_cut.roommate[0,90)",0.735440138844271,0.6510033966805088,0.8310603780018166
"time_since_vacc_cut.roommate[90,182)",0.8652271957228288,0.7502737541403364,0.9978043913014831
"time_since_vacc_cut.roommate[182,365)",0.837798952777602,0.7366917455142455,0.952975254909955
"time_since_vacc_cut.roommate[365,Inf)",0.8259002146259636,0.6816738979392449,0.9993232062631302
"time_since_infvacc_cut.roommate[0,90)",0.6671840769440959,0.572708649696093,0.7775863321731933
"time_since_infvacc_cut.roommate[90,182)",0.7556773486517013,0.6392050884533482,0.8935857457275326
"time_since_infvacc_cut.roommate[182,365)",0.766817211130062,0.6552802021756869,0.8976926238137521
"time_since_infvacc_cut.roommate[365,Inf)",0.8162093646050498,0.6759253993459315,0.9854082920772768
