x,point,lb,ub
bivalent_timeMonovalent<90,0.7372361619027595,0.6379604011912982,0.8519606505390815
bivalent_timeMonovalent>=90,0.8391790865916599,0.7309871233102149,0.9633843291025476
bivalent_timeBivalent,0.6167744306864283,0.34621423995659334,1.0987725357462532
"time_since_inf_cut.roommate[0,90)",0.6195437544380165,0.4334233968622307,0.8855877796213205
"time_since_inf_cut.roommate[90,182)",0.5726267445615917,0.4325256243142904,0.7581085839874775
"time_since_inf_cut.roommate[182,365)",0.7215055423096806,0.5883886159128016,0.8847388163280406
"time_since_inf_cut.roommate[365,Inf)",0.8527003526087373,0.7722268473437388,0.9415599753363848
age,0.9965393238671588,0.989524770011477,1.0036036025678223
age.roommate,1.011188914630238,1.0043405516188824,1.0180839750251254
risk,1.1288439777425054,1.0808699555977355,1.178947309513126
risk.roommate,1.1286897582825401,1.0829420383028845,1.176370041418223
