x,point,lb,ub
dose.1,0.9299411307067679,0.8923199869641808,0.9691484212096843
dose.2,0.8647905065801819,0.8298050576297186,0.9012509786424127
dose.3,0.8042042615136529,0.7716698535583751,0.8381103541293063
dose.4,0.7478626202712075,0.7176075361504013,0.7793932903760568
has.prior.inf.roommate,0.8242588892587889,0.7509247849947641,0.9047546839552907
age,0.9966632394723729,0.9900081092141356,1.0033631075043132
age.roommate,1.0066461974001368,1.0002437705671674,1.0130896053124767
risk,1.129432345735175,1.0827612597240326,1.1781151312321434
risk.roommate,1.120849541291386,1.077455748383147,1.1659909895124196
