Institution,BuildingId,Average Number of Residents
1,-913305970,8.396174863387978
1,-913303842,4.719424460431655
1,-913288370,12.693989071038251
1,-426688450,199.13934426229508
1,-426685378,206.30601092896174
1,-426684866,199.36338797814207
1,-426684610,145.2295081967213
1,-409973026,18.333333333333332
1,-409898690,58.70505617977528
1,-409895874,191.21584699453553
1,-409895362,141.24590163934425
1,-409895106,188.47814207650273
1,-124760354,30
1,-124673986,167.47246376811594
1,-124670914,207.33879781420765
1,-124670402,203.6912568306011
1,-124670146,142.74043715846994
1,-107983138,18.7
1,-107917250,187.18435754189943
1,-107914178,193.3175487465181
1,-107913666,31.717299578059073
1,-107913410,137.18539325842696
1,-91127746,185.55464480874318
1,-91127490,143.37978142076503
1,-91124674,187.96994535519124
1,-91124162,202.57103825136613
1,-74338242,167.0327868852459
1,-74335170,193.7486338797814
1,-74334658,194.34699453551912
1,-74334402,136.87431693989072
2,-426676978,230.15300546448088
2,-426676962,225.31420765027323
2,-426676946,227.44808743169398
2,-426676738,231.09016393442624
2,-409899746,43.58448753462604
2,-409899730,129.98360655737704
2,-107909874,235.92349726775956
2,-107909858,224.07650273224044
2,-107909842,214.02732240437157
2,-107909634,229.29508196721312
3,-913303842,3.640625
3,-913288370,11.672131147540984
3,-913087122,1
3,-829330130,52.80601092896175
3,-426676978,137.45355191256832
3,-426676962,138.1448087431694
3,-426676946,141
3,-426676754,11.011730205278592
3,-426676738,139.11748633879782
3,-409899762,136.47540983606558
3,-409899746,144.04644808743168
3,-409899730,143.12568306010928
3,-409899538,12.39041095890411
3,-409899522,141.27868852459017
3,-208662898,7.579234972677596
3,-208660770,1
3,-208573154,46.978142076502735
3,-208573138,48.84699453551912
3,-124687090,161.29234972677597
3,-124687074,159.09562841530055
3,-124687058,158.8415300546448
3,-124686866,54.724043715846996
3,-124686850,151.25956284153006
3,-107909874,139.69398907103826
3,-107909858,133.10655737704917
3,-107909842,101.2103825136612
3,-107909650,142.35792349726776
3,-107909634,138.7622950819672
4,-968594130,38.20068027210884
4,-967480018,36.928125
4,-967414482,35.95
4,-967348946,35.528125
4,-967283410,60.121875
4,-967152338,39.7875
4,-965907154,36.78125
4,-965317330,41.346875
4,-965055186,48.98125
4,-964989650,32.141065830721004
4,-964924114,38.13479623824451
4,-964858578,37.676375404530745
4,-960991954,36.20062695924765
4,-960926418,36.50625
4,-913303842,1.3170731707317074
4,-913288370,4.645695364238411
4,-426676946,684.128125
4,-208662898,9.021806853582554
4,-208575826,14
4,-208575810,12.8370607028754
4,-208575794,15.118380062305295
4,-208575218,19.58267716535433
4,-208575202,10.843137254901961
4,-208575186,13.078175895765472
4,-208575170,16.58682634730539
4,-208575010,19.141414141414142
4,-208574994,20.90566037735849
4,-208574978,16.079470198675498
4,-107983138,16.265060240963855
4,-107909874,77.3044982698962
4,-107909858,155.87579617834396
4,-107909842,160.06709265175718
4,-107909650,126.64745762711864
4,-107909634,73.86942675159236
5,-913305970,4.33879781420765
5,-426764578,1.5390625
5,-426749106,6.316939890710382
5,-426676978,95.9207650273224
5,-426676962,93.03551912568307
5,-426676946,91.20218579234972
5,-426676802,74.63934426229508
5,-426676786,50.454005934718104
5,-426676770,91.00273224043715
5,-426676754,94.26229508196721
5,-426676738,93.90710382513662
5,-409987362,1.6204379562043796
5,-409899762,93.62295081967213
5,-409899746,85.45977011494253
5,-409899730,90.88524590163935
5,-409899586,17.071428571428573
5,-409899570,44.81467181467181
5,-409899554,73.85245901639344
5,-409899538,92.14754098360656
5,-409899522,89.26502732240438
5,-124774690,2.3333333333333335
5,-124687074,558.9508196721312
5,-124687058,546.827868852459
5,-107909874,164.71584699453553
5,-107909858,143.62021857923497
5,-107909842,45.723076923076924
5,-107909650,160.9672131147541
5,-107909634,166.51639344262296
6,-913305970,5.211699164345404
6,-913303842,1.5851063829787233
6,-913289506,21.972318339100347
6,-913288370,16.002732240437158
6,-426656322,78.01912568306011
6,-426656306,178.5
6,-426656290,132.74043715846994
6,-426656274,56.78415300546448
6,-409879282,92.25409836065573
6,-409879266,138.47632311977716
6,-409879250,91.24923076923076
6,-409879042,82.02185792349727
6,-124666866,167.2513661202186
6,-124666658,132.85792349726776
6,-124666642,165.55191256830602
6,-124666626,178.83333333333334
6,-107889634,156.14207650273224
6,-107889618,169.68579234972677
6,-107889602,182.72131147540983
6,-107889234,162.5327868852459
7,-913303842,3.3
7,-913288370,10.341530054644808
7,-829330130,49.322404371584696
7,-426676978,172.45081967213116
7,-426676962,173.56830601092895
7,-426676946,175.68032786885246
7,-426676754,160.26502732240436
7,-426676738,21.666666666666668
7,-409899762,162.31967213114754
7,-409899746,183.74590163934425
7,-409899730,165.35792349726776
7,-409899538,10.95582329317269
7,-409899522,169.87158469945356
7,-208662898,5.102564102564102
7,-208660770,1
7,-208573154,41.58469945355191
7,-208573138,41.13387978142077
7,-124687090,168.6693989071038
7,-124687074,164.9344262295082
7,-124687058,163.84972677595627
7,-124686866,30.6158940397351
7,-124686850,118.85519125683061
7,-107909874,151.8551912568306
7,-107909858,156.19945355191257
7,-107909842,149.96174863387978
7,-107909650,142.21311475409837
7,-107909634,148.18032786885246
8,-913303842,1.4933333333333334
8,-426681074,30.262295081967213
8,-426681058,45.66120218579235
8,-426681042,18.893333333333334
8,-426680898,48.650273224043715
8,-426680882,46.131147540983605
8,-426680866,50.89344262295082
8,-426680850,28.14207650273224
8,-426680834,45.41803278688525
8,-409903842,6.034013605442177
8,-409903826,22.023121387283236
8,-409903618,161.29781420765028
8,-124691186,58.15573770491803
