x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.6402588157890015,0.4531099091689408,0.9047062156451154,inf
"time_since_inf_cut.roommate[90,182)",0.6580376953861986,0.5017051780422453,0.8630837940299636,inf
"time_since_inf_cut.roommate[182,365)",0.7564182924219489,0.6228903345111872,0.918570415062783,inf
"time_since_inf_cut.roommate[365,Inf)",0.9091731570427339,0.8274331125171593,0.9989880958141009,inf
has.vacc.roommate.binary,0.760219320077291,0.674291377558748,0.8570974416300109,inf
age,0.9956163341091187,0.9898784157225975,1.0013875128505354,inf
age.roommate,1.0043037203260665,0.9988213100362393,1.0098162229079624,inf
risk,1.090929139512367,1.0531174301471489,1.1300984613566796,inf
risk.roommate,1.0874752266275183,1.0516226869966547,1.1245500721423045,inf
"time_since_vacc_cut.roommate[0,90)",0.7041001559220786,0.6165844213370909,0.8040375533563174,vacc
"time_since_vacc_cut.roommate[90,182)",0.8568554086775954,0.7317776364236802,1.0033118734923536,vacc
"time_since_vacc_cut.roommate[182,365)",0.8134315568872136,0.7071759030763146,0.9356524944665036,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.8160763591820305,0.6606631081278067,1.0080487555950572,vacc
has.prior.inf.roommate,0.8593017838422583,0.7861222655421458,0.9392935273309594,vacc
age,0.9954464365114986,0.9897143513699588,1.001211719918805,vacc
age.roommate,1.005717073681353,1.0001311330666358,1.0113342129374479,vacc
risk,1.09071340757499,1.0529519721771434,1.1298290604879597,vacc
risk.roommate,1.0867478147999017,1.0508665477835188,1.123854228173276,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6210612696181482,0.5264951313649903,0.7326128536453826,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.7278539661622612,0.6055398324875255,0.874874562556622,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7297912271913463,0.614900746135845,0.8661482989448013,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.784975225711462,0.6394085984859974,0.9636812930570168,infvacc
age,0.9952809797159612,0.9895503220183373,1.001044824647136,infvacc
age.roommate,1.0060591499180505,1.0004856109555649,1.0116637381392424,infvacc
risk,1.092136743238532,1.0543353018268857,1.1312934925586986,infvacc
risk.roommate,1.0886062931450704,1.05267058665209,1.1257687604286768,infvacc
