point,lb,ub,x
32.71869086812886,43.8972787744754,19.312745271277553,"time_since_vacc_cut2.roommate[0,30)"
31.911320701213107,41.81241936030411,20.325468120764267,"time_since_vacc_cut2.roommate[30,60)"
22.041379529301587,34.4581899274786,7.272220602854129,"time_since_vacc_cut2.roommate[60,90)"
16.765042772811476,29.017236546510826,2.3980221740528385,"time_since_vacc_cut2.roommate[90,182)"
17.999529322163042,28.778044493101163,5.589826289795186,"time_since_vacc_cut2.roommate[182,365)"
20.08774515065661,35.423159279594785,1.110546693428649,"time_since_vacc_cut2.roommate[365,Inf)"
13.947598556162855,21.313662280097322,5.891975547131068,has.prior.inf.roommate
0.7966192215007606,1.3699655386099185,0.21993998454484798,age
-0.5623121260512676,-0.0030157803082797585,-1.1247365014833477,age.roommate
-8.796939072666255,-5.019577718831703,-12.710165177696474,risk
-8.40358011584228,-4.831814764137254,-12.09704046783271,risk.roommate
