x,point,lb,ub
bivalent_timeMonovalent<90,0.7016714486899367,0.6144423406125473,0.8012840088718661
bivalent_timeMonovalent>=90,0.8253065887627111,0.7266262288437102,0.9373883551369118
bivalent_timeBivalent,0.5837929867157373,0.3488533002777807,0.9769557893449811
"time_since_inf_cut.roommate[0,90)",0.6811382781031284,0.48398026990925963,0.9586121227302914
"time_since_inf_cut.roommate[90,182)",0.6542161210515064,0.5006079230662885,0.8549579687475409
"time_since_inf_cut.roommate[182,365)",0.7673081469286084,0.6343394951384699,0.9281493535484403
"time_since_inf_cut.roommate[365,Inf)",0.92300871819599,0.840830783446899,1.0132182487103334
age,0.9957726010798253,0.9901365007567641,1.0014407834711947
age.roommate,1.006499369677977,1.0010350246812758,1.0119935428680047
risk,1.0869600800661934,1.0500541714812404,1.125163108481221
risk.roommate,1.0785385120380524,1.0436403225202586,1.1146036587970907
