x,point,lb,ub
"time_since_vacc_cut2.roommate[0,30)",0.6436049293447608,0.5252984538549875,0.7885561094592999
"time_since_vacc_cut2.roommate[30,60)",0.7007628469019318,0.5871372910261626,0.8363777520243019
"time_since_vacc_cut2.roommate[60,90)",0.7641867174794238,0.6285568944274519,0.9290827041264439
"time_since_vacc_cut2.roommate[90,182)",0.8342356501749759,0.6968661757146598,0.9986840289803786
"time_since_vacc_cut2.roommate[182,365)",0.8149287560262035,0.6938881263187033,0.9570835012291158
"time_since_vacc_cut2.roommate[365,Inf)",0.8363487158532834,0.6561956353215632,1.0659613335688558
has.prior.inf.roommate,0.8395317729856685,0.7583289521427858,0.9294298943234209
age,0.9943949580560882,0.9878050699668678,1.0010288088929689
age.roommate,1.0075375648573859,1.001100516515729,1.014016003239972
risk,1.0911082257615439,1.0475833479860668,1.136441470373905
risk.roommate,1.0650074718080254,1.0237930783675429,1.1078810151905794
