x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.5488029792867171,0.3590489048735554,0.838840352904136,inf
"time_since_inf_cut.roommate[90,182)",0.627680723278099,0.45575395672806085,0.8644644430591288,inf
"time_since_inf_cut.roommate[182,365)",0.7646408408626976,0.6031307857096091,0.9694010476141047,inf
"time_since_inf_cut.roommate[365,Inf)",0.9188609565778344,0.8255004238202579,1.0227801623842285,inf
has.vacc.roommate.binary,0.7782596873774602,0.6797769074176718,0.8910101746435353,inf
age,0.9951917542788961,0.98866141604735,1.001765226910881,inf
age.roommate,1.0049317299620226,0.9986330046093238,1.0112701835641238,inf
risk,1.092881934234809,1.0497983120442125,1.1377337041541322,inf
risk.roommate,1.0649390566054644,1.023744174139815,1.1077915976778498,inf
"time_since_vacc_cut.roommate[0,90)",0.740525411961433,0.6381638864166326,0.8593057323250586,vacc
"time_since_vacc_cut.roommate[90,182)",0.8694474802554382,0.7261283816361169,1.0410540891119615,vacc
"time_since_vacc_cut.roommate[182,365)",0.8099670118415072,0.6902957785424572,0.950384720093011,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.8274027446200112,0.6518406630508817,1.050249456056547,vacc
has.prior.inf.roommate,0.8663190046933954,0.7827211004966044,0.9588455165151271,vacc
age,0.9949052334792104,0.9883854879553815,1.0014679855852013,vacc
age.roommate,1.0058692622798915,0.9994715278568698,1.0123079493509943,vacc
risk,1.09301749617169,1.0499996348694656,1.137797773697276,vacc
risk.roommate,1.0643470756738347,1.0231465898953178,1.1072066394819813,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6776000896899714,0.5623356686292432,0.8164907672797416,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.768341271694037,0.6218996853240176,0.9492661336222271,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7713947408857114,0.6342986415931926,0.9381225297464361,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.8291892146047427,0.6582894688411285,1.0444565592507822,infvacc
age,0.9948489457648462,0.9883338970951588,1.0014069413164457,infvacc
age.roommate,1.006404870092055,1.0000201107900557,1.0128303937255958,infvacc
risk,1.0935907460395538,1.0505771626942424,1.1383654264445606,infvacc
risk.roommate,1.0653261046582008,1.024127539709648,1.1081820039601498,infvacc
