x,point,lb,ub
bivalent_timeMonovalent<90,0.7346565802618725,0.6300992517472952,0.8565639292943122
bivalent_timeMonovalent>=90,0.8372499299521927,0.7231677298085736,0.969328990095433
bivalent_timeBivalent,0.8153805097652743,0.44759404906475686,1.4853758156397878
"time_since_inf_cut.roommate[0,90)",0.5544624887385765,0.3672274669740991,0.837161375621882
"time_since_inf_cut.roommate[90,182)",0.5342276817023652,0.3820442255995619,0.7470318794877525
"time_since_inf_cut.roommate[182,365)",0.8116906467978724,0.6450490244546169,1.0213823773413084
"time_since_inf_cut.roommate[365,Inf)",0.8665546103729189,0.7789431150081676,0.9640201938888534
age,0.9935019284555775,0.9870731200939817,0.9999726076533949
age.roommate,1.0075306736150942,1.0011478464483614,1.013954194554265
risk,1.0741243198888026,1.031858122350429,1.118121793671127
risk.roommate,1.044031507246417,1.0050521117864484,1.0845226584179615
