x,point,lb,ub
bivalent_timeMonovalent<90,0.7038200522182404,0.6184955194588039,0.8009155286006584
bivalent_timeMonovalent>=90,0.8200208174502038,0.724642621954153,0.9279527875938884
bivalent_timeBivalent,0.48283919229212224,0.2883557583335881,0.8084932548619517
has.prior.inf.roommate,0.8220669629870222,0.7539340074932475,0.8963570881775869
age,0.9941063486364654,0.988528759350588,0.9997154084303554
age.roommate,1.0057725751680766,1.0003519161942962,1.0112226073486599
risk,1.0767404078134204,1.040614601001787,1.1141203522438565
risk.roommate,1.0879178564822736,1.0529757283229806,1.1240195102483392
time_since_inf,1.0021235154189343,1.0014533087307853,1.0027941706322427
time_since_vacc,1.0015990959717938,1.0008012726547075,1.0023975553013058
