x,point,lb,ub
"time_since_vacc_cut2.roommate[0,30)",0.650717116187853,0.5453103026155641,0.7764987444191931
"time_since_vacc_cut2.roommate[30,60)",0.6837639870271742,0.5877037768883485,0.7955252430581524
"time_since_vacc_cut2.roommate[60,90)",0.7704486154152911,0.650760776747154,0.9121494260339732
"time_since_vacc_cut2.roommate[90,182)",0.8331001662465769,0.7143069040629155,0.9716494171515696
"time_since_vacc_cut2.roommate[182,365)",0.8154848113263693,0.711414545765808,0.9347791403226692
"time_since_vacc_cut2.roommate[365,Inf)",0.8117450108705121,0.6590420898281608,0.999829863438582
has.prior.inf.roommate,0.8221590983531845,0.7537032576774647,0.8968325081781474
age,0.9908658301186022,0.9853015938084698,0.9964614890164069
age.roommate,1.0060977730842866,1.0006534605798418,1.0115717067711025
risk,1.07394684920223,1.0380593883851181,1.1110749999628173
risk.roommate,1.0838520737712245,1.049103386667919,1.1197517163196733
time_since_inf,1.002054653507014,1.0013902232544574,1.0027195246142446
time_since_vacc,1.0015782158592386,1.0007853300418876,1.0023717298511843
