x,point,lb,ub
bivalent_timeMonovalent<90,0.6968901103771183,0.6129556028084969,0.7923181119745203
bivalent_timeMonovalent>=90,0.8306403352730944,0.7349830894570485,0.9387472670865027
bivalent_timeBivalent,0.597446521794789,0.3670059609227195,0.972579152412875
"time_since_inf_cut.roommate[0,90)",0.6210327914334411,0.44560624539677923,0.8655213700880496
"time_since_inf_cut.roommate[90,182)",0.6103572628338357,0.4716782419180607,0.7898095675965662
"time_since_inf_cut.roommate[182,365)",0.7445659027689561,0.6182674612617297,0.896664337526032
"time_since_inf_cut.roommate[365,Inf)",0.8777707638497019,0.8023852449006015,0.960238886203267
age,0.9953979336069734,0.9899504239636887,1.0008754198638292
age.roommate,1.0061885126568897,1.0008939644705799,1.0115110680462525
risk,1.0751542117632347,1.0400489261715309,1.111444423415111
risk.roommate,1.0785522454688572,1.0448800840480748,1.1133095213176556
