x,point,lb,ub,label,n
"time_since_inf_cut.roommate[0,90)",4.4719611290550126e-8,0,Inf,no_immunity,4
"time_since_inf_cut.roommate[90,182)",0.18326194218544153,0.02062265563705654,1.628545811201533,no_immunity,6
"time_since_inf_cut.roommate[182,365)",1.312302754581734,0.6332864848210907,2.7193672389350403,no_immunity,34
"time_since_inf_cut.roommate[365,Inf)",0.8184290778404512,0.5468528522411222,1.2248745758748039,no_immunity,178
"time_since_inf_cut.roommate[0,90)",0.5365313446182514,0.3162321200587759,0.9102993197034036,vacc_immunity,77
"time_since_inf_cut.roommate[90,182)",0.701619285669135,0.47899513215641515,1.0277132041127244,vacc_immunity,150
"time_since_inf_cut.roommate[182,365)",0.7192259517853492,0.5402110661661348,0.9575627048751661,vacc_immunity,265
"time_since_inf_cut.roommate[365,Inf)",0.8409398961697792,0.7394708177394854,0.9563324096167071,vacc_immunity,1861
"time_since_inf_cut.roommate[0,90)",0.32455767619143466,0.03613964681930799,2.914740304504205,inf_immunity,6
"time_since_inf_cut.roommate[90,182)",0.32067511253428865,0.12037276124298875,0.8542840318441918,inf_immunity,31
"time_since_inf_cut.roommate[182,365)",0.811181114569639,0.381516847110108,1.7247332735598302,inf_immunity,52
"time_since_inf_cut.roommate[365,Inf)",0.9132728523138516,0.6100257209746374,1.3672657956797132,inf_immunity,268
"time_since_inf_cut.roommate[0,90)",0.7993385481813188,0.512396441497341,1.246968290297805,hybrid_immunity,109
"time_since_inf_cut.roommate[90,182)",0.6617830951862305,0.45005586039497336,0.9731166808713748,hybrid_immunity,174
"time_since_inf_cut.roommate[182,365)",0.724044944336614,0.5465657606250398,0.9591546327744728,hybrid_immunity,365
"time_since_inf_cut.roommate[365,Inf)",0.952134735948353,0.8264269019399251,1.0969639943610403,hybrid_immunity,2626
