x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.6185645896055543,0.4329360608551246,0.8837844340296855,inf
"time_since_inf_cut.roommate[90,182)",0.5762013396623187,0.43536481402819377,0.7625971900594388,inf
"time_since_inf_cut.roommate[182,365)",0.7264555094319524,0.5924821650764789,0.890723195213675,inf
"time_since_inf_cut.roommate[365,Inf)",0.8561403286095758,0.7754396624843735,0.945239581792069,inf
has.vacc.roommate.binary,0.7919418102296285,0.6960835735752766,0.901000762837218,inf
age,0.996499010823354,0.9894918901538253,1.0035557526576098,inf
age.roommate,1.0100846027029808,1.0033232682151214,1.0168915014127664,inf
risk,1.1294580367405347,1.0815133901068479,1.1795281208971007,inf
risk.roommate,1.1285315979213513,1.0828833032116818,1.1761041690546399,inf
"time_since_vacc_cut.roommate[0,90)",0.7441582581958401,0.6448019174927743,0.8588242345716539,vacc
"time_since_vacc_cut.roommate[90,182)",0.8845895523369955,0.7469747817137938,1.047557019674037,vacc
"time_since_vacc_cut.roommate[182,365)",0.8386979705241399,0.7214078062462256,0.9750577685338033,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.8269967906045312,0.6607816210947551,1.035022267321992,vacc
has.prior.inf.roommate,0.8098716075023591,0.7375121299402088,0.8893304855767312,vacc
age,0.9960787627410829,0.9890863986282572,1.0031205594979669,vacc
age.roommate,1.011284409804879,1.0044294235103532,1.0181861797120693,vacc
risk,1.1301612615551484,1.0822571095864493,1.180185804099722,vacc
risk.roommate,1.1263579672156663,1.080770194409664,1.1738686696510767,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6367912514958561,0.5312521403877982,0.7632968738453525,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.717512607813515,0.5861913891816167,0.8782529936000912,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7321626508037367,0.6071079429948308,0.8829766657105305,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.7297633735588457,0.5841992420125768,0.9115975220257516,infvacc
age,0.9960633031853694,0.9890803907309749,1.0030955150362566,infvacc
age.roommate,1.011912041420133,1.0050773398233779,1.0187932201824415,infvacc
risk,1.1331585224586547,1.0852585214789692,1.1831726833812881,infvacc
risk.roommate,1.1256803845350796,1.0801733415494057,1.1731046114408168,infvacc
