point,lb,ub,x
30.04148665782711,42.60411494018002,14.729190360143708,"time_since_vacc_cut2.roommate[0,30)"
27.40517568343349,38.534642730771814,14.260507842333537,"time_since_vacc_cut2.roommate[30,60)"
18.70629210401319,32.477679913421085,2.126186792689877,"time_since_vacc_cut2.roommate[60,90)"
11.00826733995629,24.86724457284888,-5.407134835025218,"time_since_vacc_cut2.roommate[90,182)"
15.905793161089877,27.6698503479231,2.228383905157083,"time_since_vacc_cut2.roommate[182,365)"
17.142814837684984,33.799258938261424,-3.704475552918507,"time_since_vacc_cut2.roommate[365,Inf)"
18.92348042932076,26.169527291873663,10.966274702298973,has.prior.inf.roommate
0.39855181805592554,1.0983219765559493,-0.30616950289668043,age
-1.1103922029448654,-0.42450344968059106,-1.8009655039608718,age.roommate
-12.9261225083102,-8.137988809909679,-17.926265183075717,risk
-12.614530890378205,-8.058022357037697,-17.36317481137004,risk.roommate
