x,point,lb,ub
"time_inf[0,90)preomicron",0.42781153436613845,0.04242909770972091,4.313613034829572
"time_inf[90,182)preomicron",0.6236920900693071,0.3234761657631212,1.2025362743413872
"time_inf[182,365)preomicron",0.7832307082781318,0.5734269086333968,1.0697969229449866
"time_inf[365,Inf)preomicron",0.8836438400940722,0.8078520618597661,0.9665463183180446
"time_inf[0,90)omicron",0.6314287730849297,0.4514573959992486,0.8831448969776172
"time_inf[90,182)omicron",0.6135093793920172,0.46405412209702085,0.8110988367069923
"time_inf[182,365)omicron",0.7275810065877896,0.5800550657820773,0.9126273562210094
"time_inf[365,Inf)omicron",NA,NA,NA
has.vacc.roommate.binary,0.7673269651179876,0.6841781107790057,0.8605809834032601
age,0.9954678512016572,0.9900277648255533,1.0009378302139385
age.roommate,1.0046819612644498,0.9994719260036842,1.0099191553344948
risk,1.0756525737781377,1.0405456405849118,1.1119439785698808
risk.roommate,1.0775728671776605,1.044043155361559,1.1121793942275937
