x,point,lb,ub,label,n
"time_since_vacc_cut.roommate[0,90)",0.7040806681369829,0.4804865289506645,1.0317242157170257,no_immunity,269
"time_since_vacc_cut.roommate[90,182)",0.43137948354513456,0.2385222647556942,0.7801714402396245,no_immunity,84
"time_since_vacc_cut.roommate[182,365)",0.9246952892764604,0.6081571876624522,1.4059874574477031,no_immunity,156
"time_since_vacc_cut.roommate[365,Inf)",1.0701703050236884,0.491323092309775,2.330980366443706,no_immunity,34
"time_since_vacc_cut.roommate[0,90)",0.6857851475265904,0.571060313281488,0.8235579633709296,vacc_immunity,2774
"time_since_vacc_cut.roommate[90,182)",0.8167097989464092,0.6583855587885042,1.0131068137679975,vacc_immunity,989
"time_since_vacc_cut.roommate[182,365)",0.830523014184768,0.6840333643270594,1.0083842588133622,vacc_immunity,1455
"time_since_vacc_cut.roommate[365,Inf)",0.8284056557280076,0.6182455402576984,1.110005468306498,vacc_immunity,316
"time_since_vacc_cut.roommate[0,90)",0.9641796392807368,0.5763303666581543,1.6130372969830717,inf_immunity,177
"time_since_vacc_cut.roommate[90,182)",1.171516427730785,0.598865914224132,2.2917496351770077,inf_immunity,67
"time_since_vacc_cut.roommate[182,365)",1.0553906264576627,0.6170581988397668,1.805096142485474,inf_immunity,136
"time_since_vacc_cut.roommate[365,Inf)",1.106543111660348,0.4617192095671755,2.651909716103813,inf_immunity,38
"time_since_vacc_cut.roommate[0,90)",0.6718129741652562,0.5383845628687925,0.8383090886778634,hybrid_immunity,2056
"time_since_vacc_cut.roommate[90,182)",0.9730043739600345,0.7572775852889523,1.2501855728162277,hybrid_immunity,808
"time_since_vacc_cut.roommate[182,365)",0.7667089477358995,0.6108712355871575,0.9623019980197094,hybrid_immunity,1265
"time_since_vacc_cut.roommate[365,Inf)",0.7121224314086868,0.5135391932347136,0.9874968921479005,hybrid_immunity,291
