x,point,lb,ub
"time_since_vacc_cut.roommate[0,90)",0.6919309422421578,0.6083657556075329,0.7869746520397212
"time_since_vacc_cut.roommate[90,182)",0.8433189386342456,0.7238251226971952,0.9825395802912856
"time_since_vacc_cut.roommate[182,365)",0.8076979981465195,0.7056874033660389,0.9244547275438735
"time_since_vacc_cut.roommate[365,Inf)",0.8124522747179155,0.6617293035015925,0.9975056192939573
"time_since_inf_cut.roommate[0,90)",0.6003681239305713,0.4286998699936009,0.8407790845313157
"time_since_inf_cut.roommate[90,182)",0.6030737839885113,0.4642017682760694,0.7834911751519301
"time_since_inf_cut.roommate[182,365)",0.7315788489261792,0.6051379889885248,0.8844389576181483
"time_since_inf_cut.roommate[365,Inf)",0.8613618263784735,0.7862543111243938,0.9436440416854847
age,0.9950879359141784,0.9895265530809376,1.0006805750880619
age.roommate,1.0054970307325932,1.0000728838491324,1.0109505968412809
risk,1.0772933186711586,1.0413090213245901,1.1145211178303585
risk.roommate,1.0856345802577752,1.0509194443852496,1.1214964649749304
