"","",Relative % change in attack rate of infection in close contact (95% CI)
Index case,Prior vaccination only,"-22 (-35.6, -5.4)"
,Prior infection only,"-21.4 (-37.7, -1)"
,Number of days of exposure between index case and close contact,"8.1 (-1.3, 18.3)"
Close contact,Number of vaccine doses 1 dose,"1.8 (-7.7, 12.4)"
,2 doses,"3.7 (-14.9, 26.3)"
,≥3 doses,"5.6 (-21.4, 42)"
,Prior infection only,"-18.7 (-34.5, 1)"
Institution,SARS-CoV-2 incidence in the 7 days preceding the positive test in the index case (natural log scale),"11 (-4.3, 28.9)"
