point,lb,ub,x,inf_vacc
37.07357014603648,55.0387840472959,11.929971415116047,"time_since_inf_cut.roommate[0,90)",inf
40.92599355113923,54.4577711590754,23.37357378556454,"time_since_inf_cut.roommate[90,182)",inf
25.766496559583864,38.5824831110966,10.276199491974191,"time_since_inf_cut.roommate[182,365)",inf
13.715332442789485,21.21395489398511,5.503013313585559,"time_since_inf_cut.roommate[365,Inf)",inf
22.834648748220754,31.295835132571646,13.331434196161707,has.vacc.roommate.binary,inf
26.880944655775895,35.65261626555688,16.91354109289216,"time_since_vacc_cut.roommate[0,90)",vacc
13.01540491569334,25.272309804867664,-1.2518888543626705,"time_since_vacc_cut.roommate[90,182)",vacc
19.313579695320236,29.520418763867106,7.628588203844311,"time_since_vacc_cut.roommate[182,365)",vacc
20.652674233410686,35.4003814894309,2.5381534524207106,"time_since_vacc_cut.roommate[365,Inf)",vacc
18.197281461691507,24.94184497311607,10.846666056993692,has.prior.inf.roommate,vacc
33.734721885693176,43.544648743521904,22.22017956070078,"time_since_infvacc_cut.roommate[0,90)",infvacc
25.385274785199453,37.59332869749659,10.789069458718892,"time_since_infvacc_cut.roommate[90,182)",infvacc
24.606604978778137,36.1679248897749,10.951288940386172,"time_since_infvacc_cut.roommate[182,365)",infvacc
19.868694909751294,34.38049011104035,2.147607223338277,"time_since_infvacc_cut.roommate[365,Inf)",infvacc
