point,lb,ub,x
34.97456663353087,45.474977603260754,22.451989955533115,"time_since_vacc_cut2.roommate[0,30)"
30.67368790628089,40.37370564223478,19.39566930525116,"time_since_vacc_cut2.roommate[30,60)"
21.828227305337855,33.91825721962803,7.526257796563396,"time_since_vacc_cut2.roommate[60,90)"
17.011237819222792,28.804513488466355,3.264448552059762,"time_since_vacc_cut2.roommate[90,182)"
17.879415701464517,28.30743290036162,5.934594918879821,"time_since_vacc_cut2.roommate[182,365)"
18.765512530819205,33.91462739917506,0.14368241152786787,"time_since_vacc_cut2.roommate[365,Inf)"
0.8730874431440827,1.426135515291438,0.31693649812361,age
-0.6042505751707727,-0.06284673544076913,-1.1485837550828437,age.roommate
-7.728478202935052,-4.154273469446257,-11.425336948125441,risk
-8.413294609561861,-4.959391170121297,-11.980855805930979,risk.roommate
