x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.6280993969521428,0.4481281479523183,0.880348298258698,inf
"time_since_inf_cut.roommate[90,182)",0.6049861374058613,0.46632604482145545,0.78487622666111,inf
"time_since_inf_cut.roommate[182,365)",0.7495082718188123,0.6197017325422727,0.9065048877953592,inf
"time_since_inf_cut.roommate[365,Inf)",0.8615756974535254,0.7863539523443658,0.9439930710966271,inf
has.vacc.roommate.binary,0.7577818334413896,0.6742505743074823,0.8516615765341908,inf
age,0.9915962404313132,0.9860552852503338,0.9971683319844381,inf
age.roommate,1.004651145267113,0.9993282610618297,1.0100023816138968,inf
risk,1.0766070990219363,1.040803399056507,1.1136424484346832,inf
risk.roommate,1.0851355342385596,1.0506052223151519,1.12080075622733,inf
"time_since_vacc_cut.roommate[0,90)",0.701318600081673,0.6161232368297813,0.7982944797720756,vacc
"time_since_vacc_cut.roommate[90,182)",0.8295327914143299,0.7116558541405645,0.9669345766327856,vacc
"time_since_vacc_cut.roommate[182,365)",0.8187087674133382,0.714716890020721,0.9378315458867003,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.813193948562501,0.661531710518379,0.9996261516480994,vacc
has.prior.inf.roommate,0.8185615880635885,0.7507451988445712,0.8925039740306149,vacc
age,0.9914307626694192,0.9858960178823545,0.9969965790901069,vacc
age.roommate,1.006122887096999,1.0007027249643279,1.0115724067569467,vacc
risk,1.076289272592703,1.0405276657509903,1.1132799601844963,vacc
risk.roommate,1.0849011285560677,1.050307483140652,1.1206341739303878,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6327802027482721,0.5382589592830078,0.7438998981522106,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.7135585249974282,0.5960508158415148,0.8542321477702476,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7613213594123138,0.6441321629776526,0.8998311924342185,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.8020520448713189,0.65630076442012375,0.9801717711705584,infvacc
age,0.9913201912812912,0.9857904851046375,0.99688091586486,infvacc
age.roommate,1.0065110972481088,1.0011056427403473,1.011945738424278,infvacc
risk,1.0777896538929532,1.0420202841418689,1.1147868767212386,infvacc
risk.roommate,1.085900748178249,1.0512880977773957,1.1216529868330782,infvacc
