point,lb,ub,x,inf_vacc
42.99217334768911,57.24919355956965,23.980561532836152,"time_since_inf_cut.roommate[0,90)",inf
32.654792480432725,46.92793442790867,14.543047703826906,"time_since_inf_cut.roommate[90,182)",inf
10.402211483168234,25.64359756367207,-7.96331511575159,"time_since_inf_cut.roommate[182,365)",inf
15.993301878924516,23.8125246988111,7.371581729059051,"time_since_inf_cut.roommate[365,Inf)",inf
22.70419874857007,31.75900382901077,12.447923882440193,has.vacc.roommate.binary,inf
0.843478138659548,1.4845788708447438,0.19820536778135667,age,inf
-0.5580128787932681,0.05421763122488432,-1.173993684106689,age.roommate,inf
-13.84380093833142,-9.289608400841942,-18.587770619064514,risk,inf
-11.273818994007346,-7.133719047941001,-15.573909909450467,risk.roommate,inf
27.718514281522545,37.04775668494871,17.006719656941847,"time_since_vacc_cut.roommate[0,90)",vacc
16.959206979367003,29.30907829691143,2.4517839156378507,"time_since_vacc_cut.roommate[90,182)",vacc
18.51237810808277,29.506699956066484,5.80335269505502,"time_since_vacc_cut.roommate[182,365)",vacc
15.22400234970771,31.743778458555425,-5.293988083393963,"time_since_vacc_cut.roommate[365,Inf)",vacc
18.298253728083303,25.344931767004187,10.586441056517836,has.prior.inf.roommate,vacc
0.8739271745459631,1.5142900092350309,0.2294006438233187,age,vacc
-0.6669367505165669,-0.04676936597358683,-1.2909484129636217,age.roommate,vacc
-13.749727847823955,-9.204330091183511,-18.48431810945779,risk,vacc
-11.262930676080284,-7.119134112361958,-15.567025865284844,risk.roommate,vacc
37.9829307692516,47.93038971637685,26.135093867197323,"time_since_infvacc_cut.roommate[0,90)",infvacc
26.92749313033609,39.50846783997698,11.729938562444776,"time_since_infvacc_cut.roommate[90,182)",infvacc
25.94158839173656,38.00806080374115,11.526427450910237,"time_since_infvacc_cut.roommate[182,365)",infvacc
20.869585537636315,36.017788753474775,2.134947026771983,"time_since_infvacc_cut.roommate[365,Inf)",infvacc
0.8851218097630231,1.5249211258461348,0.2411656738068868,age,infvacc
-0.7077257568363082,-0.09011109769807568,-1.3291514604723442,age.roommate,infvacc
-13.960582241621022,-9.416674462754028,-18.69319158726683,risk,infvacc
-11.28880156690444,-7.145393854929005,-15.59243854165997,risk.roommate,infvacc
