x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.6648630429413322,0.4988787298272548,0.88607278570941,inf
"time_since_inf_cut.roommate[90,182)",0.6562528138637221,0.5134919685241489,0.8387039761144761,inf
"time_since_inf_cut.roommate[182,365)",0.8050855926570425,0.6733058221214567,0.9626573693685069,inf
"time_since_inf_cut.roommate[365,Inf)",0.8719586022477883,0.7998554350089208,0.9505615274408142,inf
has.vacc.roommate.binary,0.7690992198659861,0.6889597342140426,0.8585604943564087,inf
age,0.9948741281985578,0.9896393119101116,1.00013663467801,inf
age.roommate,1.0053580863733802,1.000346553322036,1.0103947261874169,inf
risk,1.0800835893758256,1.0459912127218098,1.1152871514124556,inf
risk.roommate,1.07444321674669,1.0422944452994933,1.1075835923516417,inf
"time_since_vacc_cut.roommate[0,90)",0.7121443369844046,0.6300621478909444,0.8049198930559122,vacc
"time_since_vacc_cut.roommate[90,182)",0.8475839101268571,0.7338795100997233,0.9789052219325655,vacc
"time_since_vacc_cut.roommate[182,365)",0.8158985902204594,0.7180554389327899,0.9270739742785262,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.8167970963509487,0.6736105175969223,0.9904202490593492,vacc
has.prior.inf.roommate,0.8367407736198719,0.7712758833340255,0.9077622383465163,vacc
age,0.9946983531144115,0.9894650049676784,0.9999593807977502,vacc
age.roommate,1.0065350025808335,1.00143952616317,1.0116564055564614,vacc
risk,1.0791934265850163,1.0451536011096743,1.114341902231167,vacc
risk.roommate,1.0748021290129655,1.042567547159428,1.108033354460583,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6387462690588993,0.5484787398714767,0.7438698468645629,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.7414885028650847,0.6262692657979677,0.877905447236924,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7523729449486949,0.642930440709688,0.8804452432924634,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.8032523857270585,0.6651625908279912,0.9700100457739984,infvacc
age,0.994615362124082,0.9893861038638081,0.9998722588784138,infvacc
age.roommate,1.006929593142486,1.0018439405886777,1.012041061954546,infvacc
risk,1.0809339360603463,1.0468605488931788,1.1161163493669277,infvacc
risk.roommate,1.0758860788407005,1.0436239734557025,1.1091455199235611,infvacc
