x,point,lb,ub
bivalent_timeMonovalent<90,0.6928463436661827,0.6105995696005359,0.7861716251219198
bivalent_timeMonovalent>=90,0.792981003619173,0.7028873901088764,0.8946224970737741
bivalent_timeBivalent,0.4930912714429863,0.3038334996079474,0.8002376376765433
"time_since_inf_cut.roommate[0,90)",0.6618211028693183,0.49285588134239067,0.8887124792143324
"time_since_inf_cut.roommate[90,182)",0.6096582646508734,0.47677470255439364,0.7795782739012046
"time_since_inf_cut.roommate[182,365)",0.7840220125334116,0.6541914162512225,0.939618742874009
"time_since_inf_cut.roommate[365,Inf)",0.8611578089738368,0.7886290864564836,0.9403568606488877
age,0.9926735820196215,0.9871651374854166,0.9982127640262454
age.roommate,1.0087874380307984,1.003381328630103,1.0142226749605978
risk,1.0747834200822388,1.0395309630980472,1.1112313544187535
risk.roommate,1.0902986117506221,1.0558066029147015,1.1259174355451278
