x,point,lb,ub
bivalent_timeMonovalent<90,0.7100661106653827,0.6275811577858882,0.8033923186831549
bivalent_timeMonovalent>=90,0.8188333613008648,0.7282401696119412,0.920696360290805
bivalent_timeBivalent,0.6140909512914241,0.3904981570893032,0.9657092859768999
"time_since_inf_cut.roommate[0,90)",0.6596253669675017,0.4948774437330904,0.879218946543224
"time_since_inf_cut.roommate[90,182)",0.6524632012920831,0.5105010234056587,0.8339027925944695
"time_since_inf_cut.roommate[182,365)",0.8049452930149888,0.6731200266486453,0.9625875016272482
"time_since_inf_cut.roommate[365,Inf)",0.8676523877262736,0.7958040318239364,0.9459874992109336
age,0.9947685266651266,0.9895273829873754,1.000037430653025
age.roommate,1.0065449661017007,1.001458807343198,1.0116569561881894
risk,1.0792263490238057,1.0451515666646296,1.1144120619215354
risk.roommate,1.0758305788668767,1.043495524099496,1.1091676080008575
