x,point,lb,ub
"time_since_vacc_cut.roommate[0,90)",0.6986170158441937,0.6171143826575173,0.7908837462599059
"time_since_vacc_cut.roommate[90,182)",0.8183946554285387,0.7071096605798203,0.9471936948008807
"time_since_vacc_cut.roommate[182,365)",0.7931428651474861,0.6966630979666026,0.9029839622200293
"time_since_vacc_cut.roommate[365,Inf)",0.8101398423436462,0.6658182002461878,0.9857444027662653
"time_since_inf_cut.roommate[0,90)",0.6395012708110966,0.4775877355103726,0.8563073231601558
"time_since_inf_cut.roommate[90,182)",0.6496621909273766,0.5061930787047713,0.8337944157603138
"time_since_inf_cut.roommate[182,365)",0.7987177501837328,0.665623461036875,0.9584248179365511
"time_since_inf_cut.roommate[365,Inf)",0.8516601252271854,0.7801327878480215,0.9297455256338827
age,0.9939608175334911,0.988614943057757,0.9993355994965245
age.roommate,1.0059762036282691,1.0007709590988003,1.011208521855636
risk,1.081157698875729,1.0463295646922885,1.1171451226096436
risk.roommate,1.0843763814003247,1.0509937412859458,1.1188193519593383
