x,point,lb,ub
"time_inf[0,90)preomicron",1.4066272892572522,0.18441265177633892,10.729200582630908
"time_inf[90,182)preomicron",0.535941798799569,0.27978944981877957,1.0266062994389527
"time_inf[182,365)preomicron",0.7816390036027667,0.5730618513748137,1.0661319201189072
"time_inf[365,Inf)preomicron",0.856733164594061,0.7848551776124485,0.935193824608736
"time_inf[0,90)omicron",0.635047833402255,0.4726159902374004,0.8533053452260962
"time_inf[90,182)omicron",0.6759206657634658,0.5159973295388777,0.885409129567412
"time_inf[182,365)omicron",0.8090843207536296,0.6486617774999363,1.0091814575731286
"time_inf[365,Inf)omicron",NA,NA,NA
has.vacc.roommate.binary,0.756400438253537,0.676740539787731,0.8454371939496973
age,0.9939760335622465,0.9886329925012305,0.9993479509484472
age.roommate,1.0048236543699383,0.999710439574368,1.0099630217037943
risk,1.0821410865055003,1.0472887235877824,1.1181532892778738
risk.roommate,1.0847835828200043,1.0514865365673045,1.1191350346695403
