x,point,lb,ub
"time_since_vacc_cut2.roommate[0,30)",0.6685595069237098,0.5664613556874121,0.7890596769053466
"time_since_vacc_cut2.roommate[30,60)",0.6929033988510669,0.6004342854197844,0.7996130997144767
"time_since_vacc_cut2.roommate[60,90)",0.7905360416351904,0.6734463851461608,0.9279836478572836
"time_since_vacc_cut2.roommate[90,182)",0.8542629129100118,0.7394956323344072,0.9868416965084812
"time_since_vacc_cut2.roommate[182,365)",0.8190075581089704,0.7207247457180785,0.9306928674570595
"time_since_vacc_cut2.roommate[365,Inf)",0.8180803245449947,0.6746280046515452,0.9920362226191954
has.prior.inf.roommate,0.8385228863128329,0.7728688080823973,0.9097541827505643
age,0.9946047007257528,0.9893677655841753,0.9998693560848583
age.roommate,1.0064340650903942,1.0013359764073733,1.011558109605256
risk,1.0790966518951015,1.0450501890930812,1.1142523070033166
risk.roommate,1.0747228930892252,1.0424841342933733,1.1079586335507996
