x,point,lb,ub,inf_vacc
"time_since_inf_cut.roommate[0,90)",0.6646973926910772,0.4726959356211363,0.9346867416360333,inf
"time_since_inf_cut.roommate[90,182)",0.5688691215570887,0.4391579702805411,0.7368921876891025,inf
"time_since_inf_cut.roommate[182,365)",0.7196680302338366,0.5963977000558632,0.86841728881942,inf
"time_since_inf_cut.roommate[365,Inf)",0.878669566908807,0.8022528066665285,0.9623652312538831,inf
has.vacc.roommate.binary,0.7538928365674735,0.6704854870929147,0.8476759303053933,inf
age,0.9934029801700791,0.9876914260211082,0.9991475627021434,inf
age.roommate,1.0069462721508404,1.0014190203183924,1.012504031205739,inf
risk,1.0712586147838843,1.0350401333154176,1.108744465852484,inf
risk.roommate,1.0917928104572239,1.0560163464107328,1.1287813346995823,inf
"time_since_vacc_cut.roommate[0,90)",0.6946643009084135,0.6102173708630568,0.7907976960309595,vacc
"time_since_vacc_cut.roommate[90,182)",0.8362839772423187,0.7170841495672884,0.9752982143228991,vacc
"time_since_vacc_cut.roommate[182,365)",0.8173320413374082,0.7129457967588022,0.9370020397536302,vacc
"time_since_vacc_cut.roommate[365,Inf)",0.8330118793438027,0.6773460847413295,1.0244523542095763,vacc
has.prior.inf.roommate,0.8242314678715138,0.7563680170002953,0.898183817084065,vacc
age,0.993175399720203,0.9874728065786201,0.998910924977305,vacc
age.roommate,1.0085754206449546,1.0029556496735008,1.0142266803724485,vacc
risk,1.0714266073575336,1.0352667516548484,1.108849456547017,vacc
risk.roommate,1.0916152240252526,1.0557749394902591,1.1286721750556352,vacc
"time_since_infvacc_cut.roommate[0,90)",0.6170528516157922,0.5245821458963196,0.7258238288621331,infvacc
"time_since_infvacc_cut.roommate[90,182)",0.7054152906989402,0.58860654712941,0.8454046846381177,infvacc
"time_since_infvacc_cut.roommate[182,365)",0.7404157399545839,0.6257940977832425,0.8760317010250558,infvacc
"time_since_infvacc_cut.roommate[365,Inf)",0.7825888593573759,0.6398842597563149,0.9571189061964334,infvacc
age,0.993108027063783,0.9874082311172578,0.9988407249781145,infvacc
age.roommate,1.0088131808744356,1.0032074223261738,1.0144502634821113,infvacc
risk,1.0731519509066025,1.0369497544369226,1.1106180456737855,infvacc
risk.roommate,1.0917364332482034,1.055924352937802,1.1287630940279256,infvacc
