x,point,lb,ub
bivalent_timeMonovalent<90,0.6935112294629291,0.608589372316583,0.7902829843387297
bivalent_timeMonovalent>=90,0.8113222387508469,0.7155705109952631,0.919886670813414
bivalent_timeBivalent,0.4612572071442393,0.2749547707300366,0.7737934882075556
"time_since_inf_cut.roommate[0,90)",0.6625971879339885,0.4711877001281811,0.931762508525997
"time_since_inf_cut.roommate[90,182)",0.5607012511606292,0.4325977711410441,0.7267395119116152
"time_since_inf_cut.roommate[182,365)",0.71531979457771,0.5926374003668562,0.8633987800937877
"time_since_inf_cut.roommate[365,Inf)",0.872673346321952,0.7966436380681867,0.955959142820105
age,0.993313037645173,0.9875910519281023,0.9990681758705442
age.roommate,1.0083334565590019,1.0027201692538026,1.0139781673812869
risk,1.0707117177045378,1.0344790173396519,1.1082134709489184
risk.roommate,1.092952989262357,1.0570427376522387,1.1300831973839467
