x,point,lb,ub
"time_since_vacc_cut2.roommate[0,30)",0.6442461516920499,0.5396745307749669,0.7690803999477313
"time_since_vacc_cut2.roommate[30,60)",0.6823205410465553,0.586767846454123,0.7934335931109413
"time_since_vacc_cut2.roommate[60,90)",0.7627034623502336,0.644934188434651,0.9019781892675668
"time_since_vacc_cut2.roommate[90,182)",0.8411937431175459,0.7211942907687505,0.9811598934121353
"time_since_vacc_cut2.roommate[182,365)",0.8194860033825971,0.7147931215584373,0.9395128317348803
"time_since_vacc_cut2.roommate[365,Inf)",0.8334058298107304,0.6776338940743603,1.0249860333672949
has.prior.inf.roommate,0.8258740966463971,0.7578298491668545,0.9000279208602785
age,0.9930801479927652,0.9873744540122527,0.9988188131967757
age.roommate,1.0084575881430524,1.0028354763863183,1.0141112186696641
risk,1.0709761585420108,1.0348221590179703,1.108393284942678
risk.roommate,1.0913352989461302,1.055504467793123,1.128382466457997
