x,point,lb,ub
bivalent_timeMonovalent<90,0.7037952720806404,0.6187821021488493,0.8004882224016081
bivalent_timeMonovalent>=90,0.835693985203317,0.739032068033197,0.9449988263210666
bivalent_timeBivalent,0.5377546570017945,0.32962706451409907,0.8772946831698906
"time_since_inf_cut.roommate[0,90)",0.6294490855612201,0.45099741113414576,0.8785109216425362
"time_since_inf_cut.roommate[90,182)",0.5836234775057296,0.4532524965382058,0.751493629042084
"time_since_inf_cut.roommate[182,365)",0.7142973719385354,0.5942811463348309,0.8585511061642008
"time_since_inf_cut.roommate[365,Inf)",0.8791710464396579,0.8039021352735244,0.9614873440220593
age,0.9964685707026623,0.9908827324196168,1.0020858976657536
age.roommate,1.0075054789591025,1.00201863833034,1.013022364358425
risk,1.0708411055906595,1.0351858566501897,1.1077244400665334
risk.roommate,1.0883411218448609,1.0533284538983074,1.1245176118757783
